encoding;item_group;item_subgroup;item_function;phenomenon;adverbial_class;adverbial_type;orientation;original ;ID;original_matrix verb;freq_matrix verb;P ;int arg;int arg_type;syntax_int arg;animacy_int arg;animacy_SUBJ;animacy_OBJ;condition 1;condition 2;condition 3;condition 4;key_condition 1_ORDER;key_condition 1_OBJ;key_condition 2_ORDER;key_condition 2_OBJ;key_condition 3_ORDER;key_condition 3_OBJ;key_condition 4_ORDER;key_condition 4_OBJ;mp_item1;mp_item2;condition_mp_item1;condition_mp_item2
t11;test;;test;advPP;internal;INSTR;SUBJ;Koller konnte seine Verletzung ** mittels medizinischen Attests ** und dreier Photos beweisen . ;nzz_1993_12_11_a97_seg1_s7_hit1;nachweisen;;MITTELS ;Attest;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Fußballer mittels eines Attests was nachgewiesen hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Fußballer was mittels eines Attests nachgewiesen hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Fußballer mittels eines Attests eine Verletzung nachgewiesen hat. Was für eine, weiß ich aber nicht. ;Ich habe gehört, dass ein Fußballer eine Verletzung mittels eines Attests nachgewiesen hat. Was für eine, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t12;test;;test;advPP;internal;INSTR;SUBJ;"Laut Cook haben die Flugangriffe Milosevics «Militärmaschinerie» schwer verringert: Der Treibstoff sei knapp, und die Truppenführer könnten nur noch mittels Mobiltelefon kommunizieren; es gebe Berichte über sinkende Moral.";Manual ;übermitteln;;MITTELS;Mobiltelefon;entity;MOD P DETindef N;inanimate;animate;inanimate;Jan hat erzählt, dass ein Truppenführer mittels eines Mobiltelefons was übermittelt hat. Was es war, weiß ich aber nicht. ;Jan hat erzählt, dass ein Truppenführer was mittels eines Mobiltelefons übermittelt hat. Was es war, weiß ich aber nicht.;Jan hat erzählt, dass ein Truppenführer mittels eines Mobiltelefons einen Befehl übermittelt hat. Was für einen, weiß ich aber nicht. ;Jan hat erzählt, dass ein Truppenführer einen Befehl mittels eines Mobiltelefons übermittelt hat. Was für einen, weiß ich aber nicht.;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t13;test;;test;advPP;internal;COM(O);OBJ;Am Ende wird Elektra dahinein das Beil wickeln und es mit dem Mantel des Vaters Agamemnon bestatten, dazu die Steine, die die Mutter an einer Kette um den Hals trägt und denen sie - die letzte Hüterin des Matriarchats, mit einem langen dunklen Haarschleier über dem weissen Kleid wie seine Hohepriesterin - so viel Kraft und Bedeutung beimisst. ;nzz_1994_03_31_a146_seg3_s10_hit1;vergraben;;(MOD) MIT;Stichwaffe;entity;MOD P DETindef N;inanimate;animate;inanimate;Lea hat erzählt, dass ein Kleinkrimineller zusammen mit einer Stichwaffe was vergraben hat. Was es war, weiß ich aber nicht. ;Lea hat erzählt, dass ein Kleinkrimineller was zusammen mit einer Stichwaffe vergraben hat. Was es war, weiß ich aber nicht. ;Lea hat erzählt, dass ein Kleinkrimineller zusammen mit einer Stichwaffe ein Kleidungsstück vergraben hat. Wo genau, weiß ich aber nicht. ;Lea hat erzählt, dass ein Kleinkrimineller ein Kleidungsstück zusammen mit einer Stichwaffe vergraben hat. Wo genau, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t14;test;;test;advPP;internal;COM(O);OBJ;Den Staaten wurde zusammen mit der Einladung ein vom IKRK ausgearbeiteter «Bericht über den Schutz von Kriegsopfern» zugestellt, der in seinem ersten Teil über Kriegsgreuel referiert. ;nzz_1993_08_27_a63_seg8_s4_hit1 ;verschicken;;(MOD) MIT;Einladung;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass eine Schuldirektorin zusammen mit einer Einladung was verschickt hat. Was es war, weiß ich aber nicht.;Ich habe gehört, dass eine Schuldirektorin was zusammen mit einer Einladung verschickt hat. Was es war, weiß ich aber nicht.;Ich habe gehört, dass eine Schuldirektorin zusammen mit einer Einladung einen Bericht verschickt hat. Was für einen, weiß ich aber nicht.;Ich habe gehört, dass eine Schuldirektorin einen Bericht zusammen mit einer Einladung verschickt hat. Was für einen, weiß ich aber nicht.;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t15;test;;test;advPP;internal;COM(O);OBJ;Er muss in der ersten Februarwoche sein Budget 1998 zusammen mit der mitelfristigen Finanzplanung vorlegen. ;nzz_1996_11_20_a65_seg4_s13_hit1;vorlegen;;(MOD) MIT;Finanzplan;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Abgeordneter zusammen mit einem Finanzplan was vorgelegt hat. Was es war, weiß ich aber nicht.;Ich habe gehört, dass ein Abgeordneter was zusammen mit einem Finanzplan vorgelegt hat. Was es war, weiß ich aber nicht.;Ich habe gehört, dass ein Abgeordneter zusammen mit einem Finanzplan einen Entwurf vorgelegt hat. Was für einen, weiß ich aber nicht.;Ich habe gehört, dass ein Abgeordneter einen Entwurf zusammen mit einem Finanzplan vorgelegt hat. Was für einen, weiß ich aber nicht.;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t16;test;;test;advPP;internal;COM(O);OBJ;Bei Registrierung im Verein um an der Tombola teilzunehmen, gibt man sein Einverständnis, dass die Personalien (nur Vor-und Nachname und Nationalität) des Gewinners in den Medien veröffentlicht werden, zusammen mit einem Foto des Gewinners.;https://www.linguee.de/deutsch-englisch/search?source=auto&query=zusammen+mit+einem+Foto+des+Gewinners;veröffentlichen;;(MOD) MIT;Foto;entity;MOD P DETindef N;inanimate;animate;inanimate;Jan hat erzählt, dass ein Lokaljournalist zusammen mit einem Foto was veröffentlicht hat. Was es war, weiß ich aber nicht. ;Jan hat erzählt, dass ein Lokaljournalist was zusammen mit einem Foto veröffentlicht hat. Was es war, weiß ich aber nicht. ;Jan hat erzählt, dass ein Lokaljournalist zusammen mit einem Foto eine Teilnehmerliste veröffentlicht hat. Was für eine es war, weiß ich aber nicht. ;Jan hat erzählt, dass ein Lokaljournalist eine Teilnehmerliste zusammen mit einem Foto veröffentlicht hat. Was für eine es war, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t17;test;;test;advPP;internal;COM(O);OBJ;Einmal hat er mir Blumen zur Versöhnung gebracht und mich eine halbe Std. Später runtergeputzt weil ich sein Hemd zusammen mit einem Handtuch gewaschen habe.;https://www.psychologieforum.de/mein-freund-behandelt-mich-herablassend-16230.html;waschen;;(MOD) MIT;Handtuch;entity;MOD P DETindef N;inanimate;animate;inanimate;Tim hat erzählt, dass eine Haushälterin zusammen mit einem Handtuch was gewaschen hat. Was es war, weiß ich aber nicht. ;Tim hat erzählt, dass eine Haushälterin was zusammen mit einem Handtuch gewaschen hat. Was es war, weiß ich aber nicht. ;Tim hat erzählt, dass eine Haushälterin zusammen mit einem Handtuch ein Hemd gewaschen hat. Warum sie das getan hat, weiß ich aber nicht. ;Tim hat erzählt, dass eine Haushälterin ein Hemd zusammen mit einem Handtuch gewaschen hat. Warum sie das getan hat, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t18;test;;test;advPP;internal;COM(O);OBJ;Zusammen mit einem Preisgeld von 750.000 Euro wird den Preisträgern die Auszeichnung im Großen Festsaal des Hamburger Rathauses verliehen;https://www.biochem.mpg.de/578586/20120613_mann-koerberprize;verleihen;;(MOD) MIT;Preisgeld;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Kurator zusammen mit einem Preisgeld was verliehen hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Kurator was zusammen mit einem Preisgeld verliehen hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Kurator zusammen mit einem Preisgeld eine Auszeichnung verliehen hat. Was für eine es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Kurator eine Auszeichnung zusammen mit einem Preisgeld verliehen hat. Was für eine es war, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t19;test;;test;advPP;internal;COM(O);OBJ;Apfelbeignets bestellt. Diese waren leider etwas salzig, als ob sie zusammen mit einem Schnitzel gebraten worden wären;https://www.opentable.com/haus-schwan?page=3;anbraten;;(MOD) MIT;Schnitzel;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass eine Küchenhilfe zusammen mit einem Schnitzel was angebraten hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass eine Küchenhilfe was zusammen mit einem Schnitzel angebraten hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass eine Küchenhilfe zusammen mit einem Schnitzel einen Krapfen angebraten hat. Warum sie das getan hat, weiß ich aber nicht. ;Ich habe gehört, dass eine Küchenhilfe einen Krapfen zusammen mit einem Schnitzel angebraten hat. Warum sie das getan hat, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
