workerId;itemId;ENCODING;OPTION_0_CONDITION_NO;OPTION_1_CONDITION_NO;ITEM_FUNCTION;ITEM_SUBGROUP;ANSWER;ANSWER_CONDITION_NO;ANSWER_POSITION;PRESENTATION_ORDER;PRESENTATION_ORDER_CONDITION;rt;time_elapsed;trial_index;;;;;;;;;;;;;;;;;;;;;;;;
196;f27_1_3;f27;1;3;filler;pseudo_manner/COM;grammatical;1;above;grammatical >> ?;condition 1 >> condition 3;5007;277221;34;;;;;;;;;;;;;;;;;;;;;;;;
196;f43_1_3;f43;1;3;filler;unrelated;grammatical;1;above;grammatical >> ?;condition 1 >> condition 3;5697;295345;37;;;;;;;;;;;;;;;;;;;;;;;;
196;f29_1_3;f29;1;3;filler;unrelated;grammatical;1;above;grammatical >> ?;condition 1 >> condition 3;6507;307975;39;;;;;;;;;;;;;;;;;;;;;;;;
196;f37_1_2;f37;1;2;filler;pseudo_CC/COM;grammatical;1;above;grammatical >> *;condition 1 >> condition 2;14498;399699;48;;;;;;;;;;;;;;;;;;;;;;;;
196;f47_1_2;f47;1;2;filler;unrelated;grammatical;1;above;grammatical >> *;condition 1 >> condition 2;9199;486910;57;;;;;;;;;;;;;;;;;;;;;;;;
196;f30_1_3;f30;1;3;filler;unrelated;?;3;above;? >> grammatical;condition 3 >> condition 1;8822;501743;59;;;;;;;;;;;;;;;;;;;;;;;;
196;f22_1_3;f22;1;3;filler;pseudo_windef;grammatical;1;above;grammatical >> ?;condition 1 >> condition 3;4707;543896;64;;;;;;;;;;;;;;;;;;;;;;;;
196;f38_1_3;f38;1;3;filler;unrelated;grammatical;1;below;? >> grammatical;condition 3 >> condition 1;4026;595651;71;;;;;;;;;;;;;;;;;;;;;;;;
197;f27_1_3;f27;1;3;filler;pseudo_manner/COM;grammatical;1;below;? >> grammatical;condition 3 >> condition 1;21178;86048;8;;;;;;;;;;;;;;;;;;;;;;;;
197;f30_1_3;f30;1;3;filler;unrelated;grammatical;1;above;grammatical >> ?;condition 1 >> condition 3;16825;116804;10;;;;;;;;;;;;;;;;;;;;;;;;
197;f43_1_3;f43;1;3;filler;unrelated;grammatical;1;below;? >> grammatical;condition 3 >> condition 1;5233;170316;17;;;;;;;;;;;;;;;;;;;;;;;;
197;f46_1_3;f46;1;3;filler;unrelated;grammatical;1;above;grammatical >> ?;condition 1 >> condition 3;9327;192231;20;;;;;;;;;;;;;;;;;;;;;;;;
197;f47_1_2;f47;1;2;filler;unrelated;grammatical;1;below;* >> grammatical;condition 2 >> condition 1;3508;247090;25;;;;;;;;;;;;;;;;;;;;;;;;
